energy (MeV),pC/MeV,pC/MeV norm,CDF
11.11800512,300.985342,0.000403584,0.747182015
11.12917289,300.5671522,0.000403023,0.747585038
11.14034067,300.1495808,0.000402463,0.747987501
11.15150844,299.7326267,0.000401904,0.748389405
11.16267622,299.3162891,0.000401346,0.748790751
11.173844,298.9005671,0.000400788,0.749191539
11.18501177,298.4854596,0.000400232,0.749591771
11.19617955,298.0709658,0.000399676,0.749991447
11.20734732,297.6570848,0.000399121,0.750390567
11.2185151,297.2438156,0.000398567,0.750789134
11.22968288,296.8311573,0.000398013,0.751187148
11.24085065,296.419109,0.000397461,0.751584609
11.25201843,296.0076698,0.000396909,0.751981518
11.2631862,295.5968387,0.000396358,0.752377876
11.27435398,295.186615,0.000395808,0.752773684
11.28552176,294.7769975,0.000395259,0.753168944
11.29668953,294.3679855,0.000394711,0.753563654
11.30785731,293.959578,0.000394163,0.753957817
11.31902509,293.5517741,0.000393616,0.754351433
11.33019286,293.1445729,0.00039307,0.754744504
11.34136064,292.7379735,0.000392525,0.755137028
11.35252841,292.3319749,0.000391981,0.755529009
11.36369619,291.9265764,0.000391437,0.755920446
11.37486397,291.521777,0.000390894,0.75631134
11.38603174,291.1175757,0.000390352,0.756701693
11.39719952,290.7139717,0.000389811,0.757091504
11.40836729,290.3109642,0.000389271,0.757480774
11.41953507,289.9085521,0.000388731,0.757869505
11.43070285,289.5067346,0.000388192,0.758257698
11.44187062,289.1055108,0.000387654,0.758645352
11.4530384,288.7048798,0.000387117,0.759032469
11.46420617,288.3048408,0.000386581,0.75941905
11.47537395,287.9053927,0.000386045,0.759805095
11.48654173,287.5065349,0.00038551,0.760190605
11.4977095,287.1082662,0.000384976,0.760575581
11.50887728,286.710586,0.000384443,0.760960024
11.52004505,286.3134932,0.000383911,0.761343935
11.53121283,285.916987,0.000383379,0.761727314
11.54238061,285.5210666,0.000382848,0.762110162
11.55354838,285.125731,0.000382318,0.76249248
11.56471616,284.7309794,0.000381789,0.762874268
11.57588393,284.3368108,0.00038126,0.763255528
11.58705171,283.9432245,0.000380732,0.763636261
11.59821949,283.5502195,0.000380205,0.764016466
11.60938726,283.1577949,0.000379679,0.764396145
11.62055504,282.7659499,0.000379154,0.764775299
11.63172282,282.3746837,0.000378629,0.765153928
11.64289059,281.9839953,0.000378105,0.765532033
11.65405837,281.5938839,0.000377582,0.765909616
11.66522614,281.2043486,0.00037706,0.766286675
11.67639392,280.8153885,0.000376538,0.766663214
11.6875617,280.4270029,0.000376018,0.767039231
11.69872947,280.0391907,0.000375498,0.767414729
11.70989725,279.6519512,0.000374978,0.767789707
11.72106502,279.2652835,0.00037446,0.768164167
11.7322328,278.8791867,0.000373942,0.768538109
11.74340058,278.49366,0.000373425,0.768911534
11.75456835,278.1087026,0.000372909,0.769284443
